,time,evlo,evla,dep,mag
0,2010-12-29 02:46:19,87.03,43.89,9,1.3
1,2010-12-28 03:24:46,87.10,43.87,6,0.6
2,2010-12-28 02:49:42,86.91,43.82,9,0.4
3,2010-12-28 01:17:40,87.46,43.88,6,1.2
4,2010-12-25 20:52:10,87.05,43.89,8,0.5
5,2010-12-25 20:30:17,87.46,43.93,6,0.5
6,2010-12-25 20:29:59,87.43,43.85,4,0.7
7,2010-12-25 04:37:13,86.98,43.83,8,0.5
8,2010-12-25 03:43:01,87.46,43.93,7,0.5
9,2010-12-25 03:42:23,87.40,43.90,9,0.8
10,2010-12-25 03:16:43,87.46,44.01,6,1.7
11,2010-12-24 23:59:52,87.46,43.83,10,0.4
12,2010-12-24 23:35:28,87.40,43.97,9,0.5
13,2010-12-21 19:05:37,87.14,43.54,5,0.8
14,2010-12-21 18:38:08,87.12,43.82,9,0.4
15,2010-12-21 01:13:10,86.78,43.75,6,0.2
16,2010-12-18 21:41:38,87.11,43.84,13,0.4
17,2010-12-18 21:20:54,86.93,44.48,6,1.0
18,2010-12-18 19:44:45,87.03,43.82,15,0.6
19,2010-12-15 13:23:19,87.05,43.84,13,0.9
20,2010-12-12 01:37:30,86.81,43.75,9,0.4
21,2010-12-10 20:11:56,87.10,43.66,7,0.7
22,2010-12-09 08:09:50,86.83,43.77,12,1.1
23,2010-12-08 18:50:40,86.88,43.83,4,0.3
24,2010-12-06 23:52:39,86.97,43.75,6,0.2
25,2010-12-04 07:27:18,87.16,44.21,7,1.0
26,2010-12-02 02:02:35,87.45,43.57,7,0.4
27,2010-11-25 09:35:24,86.76,43.57,6,0.5
28,2010-11-20 01:06:34,86.63,43.67,12,2.1
29,2010-11-19 18:23:04,87.45,43.74,3,1.7
30,2010-11-19 12:51:01,87.50,43.72,8,0.8
31,2010-11-19 11:42:05,87.43,43.79,7,0.5
32,2010-11-15 19:13:44,87.06,43.84,7,1.4
33,2010-11-15 09:03:07,87.07,43.84,10,2.2
34,2010-11-15 06:30:15,87.01,43.91,7,0.5
35,2010-11-14 18:56:23,86.75,43.69,6,0.9
36,2010-11-14 18:27:25,86.71,43.75,9,1.8
37,2010-11-14 08:41:30,87.05,43.85,9,1.3
